"code","disease"
"J92","Pleural plaque"
"J93","Pneumothorax"
"J94","Other pleural conditions"
"J95","Postprocedural respiratory disorders, not elsewhere classified"
"J96","Respiratory failure, not elsewhere classified"
"J98","Other respiratory disorders"
"K00","Disorders of tooth development and eruption"
"K01","Embedded and impacted teeth"
"K02","Dental caries"
"K03","Other diseases of hard tissues of teeth"
"K04","Diseases of pulp and periapical tissues"
"K05","Gingivitis and periodontal diseases"
"K06","Other disorders of gingiva and edentulous alveolar ridge"
"K07","Dentofacial anomalies [including malocclusion]"
"K08","Other disorders of the teeth and supporting structures"
"K09","Cysts of oral region, not elsewhere classified"
"K10","Other diseases of jaws"
"K11","Diseases of salivary glands"
"K12","Stomatitis and related lesions"
"K13","Other diseases of lip and oral mucosa"
"K14","Diseases of tongue"
"K20","Esophagitis"
"K21","Gastroesophageal reflux disease"
"K22","Other diseases of esophagus"
"K25","Gastric ulcer"
"K26","Duodenal ulcer  "
"K27","Peptic ulcer, site unspecified  "
"K28","Gastrojejunal ulcer  "
"K29","Gastritis and duodenitis"
"K30","Dyspepsia"
"K31","Other diseases of stomach and duodenum"
"K35","Acute appendicitis"
"K36","Other appendicitis"
"K37","Unspecified appendicitis"
"K38","Other diseases of appendix"
"K40","Inguinal hernia"
"K41","Femoral hernia"
"K42","Umbilical hernia"
"K43","Ventral hernia"
"K44","Diaphragmatic hernia"
"K45","Other abdominal hernia"
"K46","Unspecified abdominal hernia"
"K50","Crohn's disease [regional enteritis]"
"K51","Ulcerative colitis"
"K52","Other noninfective gastroenteritis and colitis"
"K55","Vascular disorders of intestine"
"K56","Paralytic ileus and intestinal obstruction without hernia"
"K57","Diverticular disease of intestine"
"K58","Irritable bowel syndrome"
"K59","Other functional intestinal disorders"
"K60","Fissure and fistula of anal and rectal regions"
"K61","Abscess of anal and rectal regions"
"K62","Other diseases of anus and rectum"
"K63","Other diseases of intestine"
"K65","Peritonitis"
"K66","Other disorders of peritoneum"
"K70","Alcoholic liver disease"
"K71","Toxic liver disease"
"K72","Hepatic failure, not elsewhere classified"
"K73","Chronic hepatitis, not elsewhere classified"
"K74","Fibrosis and cirrhosis of liver"
"K75","Other inflammatory liver diseases"
"K76","Other diseases of liver"
"K80","Cholelithiasis"
"K81","Cholecystitis"
"K82","Other diseases of gallbladder"
"K83","Other diseases of biliary tract"
"K85","Acute pancreatitis"
"K86","Other diseases of pancreas"
"K90","Intestinal malabsorption"
"K91","Postprocedural disorders of digestive system, not elsewhere classified "
"K92","Other diseases of digestive system"
"L00","Staphylococcal scalded skin syndrome"
"L01","Impetigo"
"L02","Cutaneous abscess, furuncle, and carbuncle"
"L03","Cellulitis"
"L04","Acute lymphadenitis"
"L05","Pilonidal cyst"
"L08","Other local infections of skin and subcutaneous tissue"
"L10","Pemphigus"
"L11","Other acantholytic disorders"
"L12","Pemphigoid"
"L13","Other bullous disorders"
"L20","Atopic dermatitis"
"L21","Seborrheic dermatitis"
"L22","Diaper [napkin] dermatitis"
"L23","Allergic contact dermatitis"
"L24","Irritant contact dermatitis"
"L25","Unspecified contact dermatitis"
"L26","Exfoliative dermatitis"
"L27","Dermatitis due to substances taken internally"
"L28","Lichen simplex chronicus and prurigo"
"L29","Pruritus"
"L30","Other dermatitis"
"L40","Psoriasis"
"L41","Parapsoriasis"
"L42","Pityriasis rosea"
"L43","Lichen planus"
"L44","Other papulosquamous disorders"
"L50","Urticaria"
"L51","Erythema multiforme"
"L52","Erythema nodosum"
"L53","Other erythematous conditions"
"L55","Sunburn"
"L56","Other acute skin changes due to ultraviolet radiation"
"L57","Skin changes due to chronic exposure to nonionizing radiation"
"L58","Radiodermatitis"
"L59","Other disorders of skin and subcutaneous tissue related to radiation"
"L60","Nail disorders"
"L63","Alopecia areata"
"L64","Androgenic alopecia"
"L65","Other nonscarring hair loss"
"L66","Cicatricial alopecia [scarring hair loss]"
"L67","Hair color and hair shaft abnormalities"
"L68","Hypertrichosis"
"L70","Acne"
"L71","Rosacea"
"L72","Follicular cysts of skin and subcutaneous tissue"
"L73","Other follicular disorders"
"L74","Eccrine sweat disorders"
"L75","Apocrine sweat disorders"
"L80","Vitiligo"
"L81","Other disorders of pigmentation"
"L82","Seborrheic keratosis"
"L83","Acanthosis nigricans"
"L84","Corns and callousities"
"L85","Other epidermal thickening"
"L87","Transepidermal elimination disorders"
"L88","Pyoderma gangrenosum"
"L89","Decubitus ulcer"
"L90","Atrophic disorders of the skin"
"L91","Hypertrophic disorders of the skin"
"L92","Granulomatous disorders of skin and subcutaneous tissue"
"L93","Lupus erythematosus"
"L94","Other localized connective tissue disorders"
"L95","Vasculitis limited to the skin, not elsewhere classified"
"L97","Ulcer of lower limb, not elsewhere classified"
"L98","Other disorders of skin and subcutaneous tissue, not elsewhere classified"
"M00","Pyogenic arthritis"
"M02","Reactive arthropathies"
"M05","Seropositive rheumatoid arthritis"
"M06","Other rheumatoid arthritis"
"M08","Juvenile arthritis"
"M10","Gout"
"M11","Other crystal arthropathies"
"M12","Other specific arthropathies"
"M13","Other arthritis"
"M15","Polyarthrosis"
"M16","Coxarthrosis [arthrosis of hip]"
"M17","Gonarthrosis [arthrosis of knee]"
"M18","Arthrosis of first carpometacarpal joint"
"M19","Other arthrosis"
"M20","Acquired deformities of fingers and toes"
"M21","Other acquired deformities of limbs"
"M22","Disorders of patella"
"M23","Internal derangement of knee"
"M24","Other specific joint derangements"
"M25","Other joint disorders, not elsewhere classified"
"M30","Polyarteritis nodosa and related conditions"
"M31","Other necrotizing vasculopathies"
"M32","Systemic lupus erythematosus"
"M33","Dermatopolymyositis"
"M34","Systemic sclerosis"
"M35","Other systemic involvement of connective tissue"
"M40","Kyphosis and lordosis"
"M41","Scoliosis"
"M42","Spinal osteochondrosis"
"M43","Other deforming dorsopathies"
"M45","Ankylosing spondylitis"
"M46","Other inflammatory spondylopathies"
"M47","Spondylosis"
"M48","Other spondylopathies"
"M50","Cervical disc disorders"
"M51","Other intervertebral disc disorders"
"M53","Other dorsopathies, not elsewhere classified"
"M54","Dorsalgia"
"M60","Myositis"
"M61","Calcification and ossification of muscle"
"M62","Other disorders of muscle"
"M65","Synovitis and tenosynovitis"
"M66","Spontaneous rupture of synovium and tendon"
"M67","Other disorders of synovium and tendon"
"M70","Soft tissue disorders related to use, overuse, and pressure"
"M71","Other bursopathies"
"M72","Fibroblastic disorders"
"M75","Shoulder lesions"
"M76","Enthesopathies of lower limb, excluding foot"
"M77","Other enthesopathies"
"M79","Other soft tissue disorders, not elsewhere classified"
"M80","Osteoporosis with pathological fracture"
"M81","Osteoporosis without pathological fracture"
"M83","Adult osteomalacia"
"M84","Disorders of continuity of bone"
"M85","Other disorders of bone density and structure"
"M86","Osteomyelitis"
"M87","Osteonecrosis"
"M88","Paget's disease of bone [osteitis deformans]"
"M89","Other disorders of bone"
"M91","Juvenile osteochondrosis of hip and pelvis"
"M92","Other juvenile osteochondrosis"
"M93","Other osteochondropathies"
"M94","Other disorders of cartilage"
"M95","Other acquired deformities of musculoskeletal system and connective tissue"
"M96","Postprocedural musculoskeletal disorders, not elsewhere classified "
"M99","Biomechanical lesions, not elsewhere classified"
"N00","Acute nephritic syndrome"
"N01","Rapidly progressive nephritic syndrome  "
"N02","Recurrent and persistent hematuria  "
"N03","Chronic nephritic syndrome  "
"N04","Nephrotic syndrome  "
"N05","Unspecified nephritic syndrome  "
"N06","Isolated proteinuria with specified morphological lesion  "
"N07","Hereditary nephropathy, not elsewhere classified  "
"N10","Acute tubulo-interstitial nephritis"
"N11","Chronic tubulo-interstitial nephritis"
"N12","Tubulo-interstitial nephritis, not specified as acute or chronic"
"N13","Obstructive and reflux uropathy"
"N14","Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions"
"N15","Other renal tubulo-interstitial diseases"
"N17","Acute renal failure"
"N18","Chronic renal failure"
"N19","Unspecified renal failure"
"N20","Calculus of kidney and ureter"
"N21","Calculus of lower urinary tract"
"N23","Unspecified renal colic"
"N25","Disorders resulting from impaired renal tubular function"
"N26","Unspecified contracted kidney"
"N27","Small kidney of unknown cause"
"N28","Other disorders of kidney and ureter, not elsewhere classified"
"N30","Cystitis"
"N31","Neuromuscular dysfunction of bladder, not elsewhere classified"
"N32","Other disorders of bladder"
"N34","Urethritis and urethral syndrome"
"N35","Urethral stricture"
"N36","Other disorders of urethra"
"N39","Other disorders of urinary system"
"N40","Hyperplasia of prostate"
"N41","Inflammatory diseases of prostate"
"N42","Other disorders of prostate"
"N43","Hydrocele and spermatocele"
"N44","Torsion of testis"
"N45","Orchitis and epididymitis"
"N46","Male infertility"
"N47","Redundant prepuce, phimosis, and paraphimosis"
"N48","Other disorders of penis"
"N49","Inflammatory disorders of male genital organs, not elsewhere classified"
"N50","Other disorders of male genital organs"
"N60","Benign mammary dysplasia"
"N61","Inflammatory disorders of breast"
"N62","Hypertrophy of breast"
"N63","Unspecified lump in breast"
"N64","Other disorders of breast"
"N70","Salpingitis and oophoritis"
"N71","Inflammatory disease of uterus, except cervix"
"N72","Inflammatory disease of cervix uteri"
"N73","Other female pelvic inflammatory diseases"
"N75","Diseases of Bartholin's gland"
"N76","Other inflammation of vagina and vulva"
"N80","Endometriosis"
"N81","Female genital prolapse"
"N82","Fistulae involving female genital tract"
"N83","Noninflammatory disorders of ovary, fallopian tube, and broad ligament"
"N84","Polyp of female genital tract"
"N85","Other noninflammatory disorders of uterus, except cervix"
"N86","Erosion and ectropion of cervix uteri"
"N87","Dysplasia of cervix uteri"
"N88","Other noninflammatory disorders of cervix uteri"
"N89","Other noninflammatory disorders of vagina"
"N90","Other noninflammatory disorders of vulva and perineum"
"N91","Absent, scanty, and rare menstruation"
"N92","Excessive, frequent, and irregular menstruation"
"N93","Other abnormal uterine and vaginal bleeding"
"N94","Pain and other conditions associated with female genital organs and menstrual cycle"
"N95","Menopausal and other perimenopausal disorders"
"N96","Habitual aborter"
"N97","Female infertility"
"N98","Complications associated with artificial fertilization"
"N99","Other disorders of the genitorurinary system"
"N99","Postprocedural disorders of genitourinary system, not elsewhere classified "
"O00","Ectopic pregnancy"
"O01","Hydatidiform mole"
"O02","Other abnormal products of conception"
"O03","Spontaneous abortion"
"O04","Medical abortion  "
"O05","Other abortion  "
"O06","Unspecified abortion  "
"O07","Failed attempted abortion"
"O08","Complications following abortion and ectopic and molar pregnancy"
"O10","Pre-existing hypertension complicating pregnancy, childbirth and the puerperium"
"O11","Preexisting hypertensive disorder with superimposed proteinuria"
"O12","Gestational [pregnancy-induced] edema and proteinuria without hypertension"
"O13","Gestational [pregnancy-induced] hypertension without significant proteinuria"
"O14","Gestational [pregnancy-induced] hypertension with significant proteinuria"
"O15","Eclampsia"
"O16","Unspecified maternal hypertension"
"O20","Hemorrhage in early pregnancy"
"O21","Excessive vomiting in pregnancy"
"O22","Venous complications in pregnancy"
"O23","Infections of genitourinary tract in pregnancy"
"O24","Diabetes mellitus in pregnancy"
"O25","Malnutrition in pregnancy"
"O26","Maternal care for other conditions predominantly related to pregnancy"
"O28","Abnormal findings on antenatal screening of mother"
"O29","Complications of anesthesia during pregnancy"
"O30","Multiple gestation"
"O31","Complications specific to multiple gestation"
"O32","Maternal care for known or suspected malpresentation of fetus"
"O33","Maternal care for known or suspected disproportion"
"O34","Maternal care for known or suspected abnormality of pelvic organs"
"O35","Maternal care for known or suspected fetal abnormality and damage"
"O36","Maternal care for other known or suspected fetal problems"
"O40","Polyhydramnios"
"O41","Other disorders of amniotic fluid and membranes"
"O42","Premature rupture of membranes"
"O43","Placental disorders"
"O44","Placenta previa"
"O45","Premature separation of placenta [abruptio placentae]"
"O46","Antepartum hemorrhage, not elsewhere classified"
"O47","False labor"
"O48","Prolonged pregnancy"
"O60","Preterm delivery"
"O61","Failed induction of labor"
"O62","Abnormality of forces of labor"
"O63","Long labor"
"O64","Obstructed labor due to malposition and malpresentation of fetus"
"O65","Obstructed labor due to maternal pelvic abnormality"
"O66","Other obstructed labor"
"O67","Labor and delivery complicated by intrapartum hemorrhage, not elsewhere classified"
"O68","Labor and delivery complicated by fetal stress [distress]"
"O69","Labor and delivery complicated by umbilical cord complications"
"O70","Perineal laceration during delivery"
"O71","Other obstetric trauma"
"O72","Postpartum hemorrhage"
"O73","Retained placenta and membranes, without hemorrhage"
"O74","Complications of anesthesia during labor and delivery"
"O75","Other complications of labor and delivery, not elsewhere classified"
"O85","Puerperal sepsis"
"O86","Other puerperal infections"
"O87","Venous complications in the puerperium"
"O88","Obstetric embolism"
"O89","Complications of anesthesia during the puerperium"
"O90","Complications of the puerperium, not elsewhere classified"
"O91","Infections of breast associated with childbirth"
"O92","Other disorders of breast and lactation associated with childbirth"
"O95","Obstetric death of unspecified cause"
"O96","Death from any obstetric cause occurring more than 42 days but less than 1 year after delivery"
"O97","Death from sequelae of direct obstetric causes"
"O98","Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth, and the puerperium"
"O99","Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth, and the puerperium"
"P00","Newborn affected by maternal conditions that may be unrelated to present pregnancy"
"P01","Newborn affected by maternal complications of pregnancy"
"P02","Newborn affected by complications of placenta, cord, and membranes"
"P03","Newborn affected by other complications of labor and delivery"
"P04","Newborn affected by noxious influences transmitted via placenta or breast milk"
"P05","Slow fetal growth and fetal malnutrition"
"P07","Disorders related to short gestation and low birthweight, not elsewhere classified"
"P08","Disorders related to long gestation and high birthweight"
"P10","Intracranial laceration and hemorrhage due to birth injury"
"P11","Other birth injuries to central nervous system"
"P12","Birth injury to scalp"
"P13","Birth injury to skeleton"
"P14","Birth injury to peripheral nervous system"
"P15","Other birth injuries"
"P20","Intrauterine hypoxia"
"P21","Birth asphyxia"
"P22","Respiratory distress of newborn"
"P23","Congenital pneumonia"
"P24","Neonatal aspiration syndromes"
"P25","Interstitial emphysema and related conditions originating in the perinatal period"
"P26","Pulmonary hemorrhage originating in the perinatal period"
"P27","Chronic respiratory disease originating in the perinatal period"
"P28","Other respiratory conditions originating in the perinatal period"
"P29","Cardiovascular disorders originating in the perinatal period"
"P35","Congenital viral diseases"
"P36","Bacterial sepsis of newborn"
"P37","Other congenital infectious and parasitic diseases"
"P38","Omphalitis of newborn with or without mild hemorrhage"
"P39","Other infections specific to the perinatal period"
"P50","Fetal blood loss"
"P51","Umbilical hemorrhage of newborn"
"P52","Intracranial nontraumatic hemorrhage of fetus and newborn"
"P53","Hemorrhagic disease of newborn"
"P54","Other neonatal hemorrhages"
"P55","Hemolytic disease of fetus and newborn"
"P56","Hydrops fetalis due to hemolytic disease"
"P57","Kernicterus"
"P58","Neonatal jaundice due to other excessive hemolysis"
"P59","Neonatal jaundice from other and unspecified causes"
"P60","Disseminated intravascular coagulation of newborn"
"P61","Other perinatal hematological disorders"
"P70","Transitory disorders of carbohydrate metabolism specific to newborn"
"P71","Transitory neonatal disorders of calcium and magnesium metabolism"
"P72","Other transitory neonatal endocrine disorders"
"P74","Other transitory neonatal electrolyte and metabolic disturbances"
"P76","Other intestinal obstruction of newborn"
"P77","Necrotizing enterocolitis of newborn"
"P78","Other perinatal digestive system disorders"
"P80","Hypothermia of newborn"
"P81","Other disturbances of temperature regulation of newborn"
"P83","Other conditions of integument specific to newborn"
"P90","Convulsions of newborn"
"P91","Other disturbances of cerebral status of newborn"
"P92","Feeding problems of newborn"
"P93","Reactions and intoxications due to drugs administered to newborn"
"P94","Disorders of muscle tone of newborn"
"P96","Other conditions originating in the perinatal period"
"Q00","Anencephaly and similar malformations"
"Q01","Encephalocele"
"Q02","Microcephaly"
"Q03","Congenital hydrocephalus"
"Q04","Other congenital malformations of brain"
"Q05","Spina bifida"
"Q06","Other congenital malformations of spinal cord"
"Q07","Other congenital malformations of nervous system"
"Q10","Congenital malformations of eyelid, lacrimal apparatus, and orbit"
"Q11","Anophthalmos, microphthalmos, and macrophthalmos"
"Q12","Congenital lens malformations"
"Q13","Congenital malformations of anterior segment of eye"
"Q14","Congenital malformations of posterior segment of eye"
"Q15","Other congenital malformations of eye"
"Q16","Congenital malformations of ear causing impairment of hearing"
"Q17","Other congenital malformations of ear"
"Q18","Other congenital malformations of face and neck"
"Q20","Congenital malformations of cardiac chambers and connections"
"Q21","Congenital malformations of cardiac septa"
"Q22","Congenital malformations of pulmonary and tricuspid valves"
"Q23","Congenital malformations of aortic and mitral valves"
"Q24","Other congenital malformations of heart"
"Q25","Congenital malformations of great arteries"
"Q26","Congenital malformations of great veins"
"Q27","Other congenital malformations of peripheral vascular system"
"Q28","Other congenital malformations of circulatory system"
"Q30","Congenital malformations of nose"
"Q31","Congenital malformations of larynx"
"Q32","Congenital malformations of trachea and bronchus"
"Q33","Congenital malformations of lung"
"Q34","Other congenital malformations of respiratory system"
"Q35","Cleft palate"
"Q36","Cleft lip"
"Q37","Cleft palate with cleft lip"
"Q38","Other congenital malformations of tongue, mouth and pharynx"
"Q39","Congenital malformations of esophagus"
"Q40","Other congenital malformations of upper alimentary tract"
"Q41","Congenital absence, atresia, and stenosis of small intestine"
"Q42","Congenital absence, atresia, and stenosis of large intestine"
"Q43","Other congenital malformations of intestine"
"Q44","Congenital malformations of gallbladder, bile ducts, and liver"
"Q45","Other congenital malformations of digestive system"
"Q50","Congenital malformations of ovaries, fallopian tubes, and broad ligaments"
"Q51","Congenital malformations of uterus and cervix"
"Q52","Other congenital malformations of female genitalia"
"Q53","Undescended testicle"
"Q54","Hypospadias"
"Q55","Other congenital malformations of male genital organs"
"Q56","Indeterminate sex and pseudohermaphroditism"
"Q60","Renal agenesis and other reduction defects of kidney"
"Q61","Cystic kidney disease"
"Q62","Congenital obstructive defects of renal pelvis and congenital malformations of ureter"
"Q63","Other congenital malformations of kidney"
"Q64","Other congenital malformations of urinary system"
"Q65","Congenital deformities of hip"
"Q66","Congenital deformities of feet"
"Q67","Congenital musculoskeletal deformities of head, face, spine, and chest"
"Q68","Other congenital musculoskeletal deformities"
"Q69","Polydactyly"
"Q70","Syndactyly"
"Q71","Reduction defects of upper limb"
"Q72","Reduction defects of lower limb"
"Q73","Reduction defects of unspecified limb"
"Q74","Other congenital malformations of limb(s)"
"Q75","Other congenital malformations of skull and face bones"
"Q76","Congenital malformations of spine and bony thorax"
"Q77","Osteochondrodysplasia with defects of growth of tubular bones and spine"
"Q78","Other osteochondrodysplasias"
"Q79","Congenital malformations of musculoskeletal system, not elsewhere classified"
"Q80","Congenital ichthyosis"
"Q81","Epidermolysis bullosa"
"Q82","Other congenital malformations of skin"
"Q83","Congenital malformations of breast"
"Q84","Other congenital malformations of integument"
"Q85","Phakomatoses, not elsewhere classified"
"Q86","Congenital malformation syndromes due to known exogenous causes, not elsewhere classified"
"Q87","Other specified congenital malformation syndromes affecting multiple systems"
"Q89","Other congenital malformations, not elsewhere classified"
"Q90","Down's syndrome"
"Q91","Edwards' syndrome and Patau's syndrome"
"Q92","Other trisomies and partial trisomies of autosomes, not elsewhere classified"
"Q93","Monosomies and deletions from the autosomes, not elsewhere classified"
"Q95","Balanced rearrangements and structural markers, not elsewhere classified"
"Q96","Turner's syndrome"
"Q97","Other sex chromosome abnormalities, female phenotype, not elsewhere classified"
"Q98","Other sex chromosome abnormalities, male phenotype, not elsewhere classified"
"Q99","Other chromosome abnormalities, not elsewhere classified"
"R00","Abnormalities of heart beat"
"R01","Cardiac murmurs and other cardiac sounds"
"R02","Gangrene, not elsewhere classified"
"R03","Abnormal blood-pressure reading, without diagnosis"
"R04","Hemorrhage from respiratory passages"
"R05","Cough"
"R06","Abnormalities of breathing"
"R07","Pain in throat and chest"
"R09","Other symptoms and signs involving the circulatory and respiratory systems"
"R10","Abdominal and pelvic pain"
"R11","Nausea and vomiting"
"R12","Heartburn"
"R13","Dysphagia"
"R14","Flatulence and related conditions"
"R15","Fecal incontinence"
"R16","Hepatomegaly and splenomegaly, not elsewhere classified"
"R17","Unspecified jaundice"
"R18","Ascites"
"R19","Other symptoms and signs involving the digestive system and abdomen"
"R20","Disturbances of skin sensation"
"R21","Rash and other nonspecific skin eruption"
"R22","Localized swelling, mass, and lump of skin and subcutaneous tissue"
"R23","Other skin changes"
"R25","Abnormal involuntary movements"
"R26","Abnormalities of gait and mobility"
"R27","Other lack of coordination"
"R29","Other symptoms and signs involving the nervous and musculoskeletal systems"
"R30","Pain associated with micturition"
"R31","Unspecified hematuria"
"R32","Unspecified urinary incontinence"
"R33","Retention of urine"
"R34","Anuria and oliguria"
"R35","Polyuria"
"R36","Urethral discharge"
"R39","Other symptoms and signs involving the urinary system"
"R40","Somnolence, stupor, and coma"
"R41","Other symptoms and signs involving cognitive functions and awareness"
"R42","Dizziness and giddiness"
"R43","Disturbances of smell and taste"
"R44","Other symptoms and signs involving general sensations and perceptions"
"R45","Symptoms and signs involving emotional state"
"R46","Symptoms and signs involving appearance and behavior"
"R47","Speech disturbances, not elsewhere classified"
"R48","Dyslexia and other symbolic dysfunctions, not elsewhere classified"
"R49","Voice disturbances"
"R50","Fever of unknown origin"
"R51","Headache"
"R52","Pain, not elsewhere classified"
"R53","Malaise and fatigue"
"R54","Senility"
"R55","Syncope and collapse"
"R56","Convulsions, not elsewhere classified"
"R57","Shock, not elsewhere classified"
"R58","Hemorrhage, not elsewhere classified"
"R59","Enlarged lymph nodes"
"R60","Edema, not elsewhere classified"
"R61","Hyperhidrosis"
"R62","Lack of expected normal physiological development"
"R63","Symptoms and signs concerning food and fluid intake"
"R64","Cachexia"
"R68","Other general symptoms and signs"
"R70","Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity"
"R71","Abnormality of red blood cells"
"R72","Abnormality of white blood cells, not elsewhere classified"
"R73","Elevated blood glucose level"
"R74","Abnormal serum enzyme levels"
"R75","Laboratory evidence of human immunodeficiency virus [HIV]"
"R76","Other abnormal immunological findings in serum"
"R77","Other abnormalities of plasma proteins"
"R78","Findings of drugs and other substances, not normally found in blood"
"R79","Other abnormal findings of blood chemistry"
"R80","Isolated proteinuria"
"R81","Glycosuria"
"R82","Other abnormal findings in urine"
"R83","Abnormal findings in cerebrospinal fluid"
"R84","Abnormal findings in specimens from respiratory organs and thorax"
"R85","Abnormal findings in specimens from digestive organs and abdominal cavity"
"R86","Abnormal findings in specimens from male genital organs"
"R87","Abnormal findings in specimens from female genital organs"
"R89","Abnormal findings in specimens from other organs, systems, and tissues"
"R90","Abnormal findings on diagnostic imaging of central nervous system"
"R91","Abnormal findings on diagnostic imaging of lung"
"R92","Abnormal findings on diagnostic imaging of breast"
"R93","Abnormal findings on diagnostic imaging of other body structures"
"R94","Abnormal results of function studies"
"R95","Sudden infant death syndrome"
"R96","Other sudden death, cause unknown"
"R98","Unattended death"
"R99","Other ill-defined and unspecified causes of mortality"
"S00","Superficial injury of head"
"S01","Open wound of head"
"S02","Fracture of skull and facial bones"
"S03","Dislocation, sprain, and strain of joints and ligaments of head"
"S04","Injury of cranial nerves"
"S05","Injury of eye and orbit"
"S06","Intracranial injury"
"S07","Crushing injury of head"
"S08","Traumatic amputation of part of head"
"S09","Other and unspecified injuries of head"
"S10","Superficial injury of neck"
"S11","Open wound of neck"
"S12","Fracture of neck"
"S13","Dislocation, sprain, and strain of joints and ligaments at neck level"
"S14","Injury of nerves and spinal cord at neck level"
"S15","Injury of blood vessels at neck level"
"S16","Injury of muscle and tendon at neck level"
"S17","Crushing injury of neck"
"S18","Traumatic amputation at neck level"
"S19","Other and unspecified injuries of neck"
"S20","Superficial injury of thorax"
"S21","Open wound of thorax"
"S22","Fracture of rib(s), sternum, and thoracic spine"
"S23","Dislocation, sprain, and strain of joints and ligaments of thorax"
"S24","Injury of nerves and spinal cord at thorax level"
"S25","Injury of blood vessels of thorax"
"S26","Injury of heart"
"S27","Injury of other and unspecified intrathoracic organs"
"S28","Crushing injury of thorax and traumatic amputation of part of thorax"
"S29","Other and unspecified injuries of thorax"
"S30","Superficial injury of abdomen, lower back, and pelvis"
"S31","Open wound of abdomen, lower back, and pelvis"
"S32","Fracture of lumbar spine and pelvis"
"S33","Dislocation, sprain, and strain of joints and ligaments of lumbar spine and pelvis"
"S34","Injury of nerves and lumbar spinal cord at abdomen, lower back, and pelvis level"
"S35","Injury of blood vessels at abdomen, lower back, and pelvis level"
"S36","Injury of intra-abdominal organs"
"S37","Injury of pelvic organs"
"S38","Crushing injury and traumatic amputation of part of abdomen, lower back, and pelvis"
"S39","Other and unspecified injuries of abdomen, lower back, and pelvis"
"S40","Superficial injury of shoulder and upper arm"
"S41","Open wound of shoulder and upper arm"
"S42","Fracture of shoulder and upper arm"
"S43","Dislocation, sprain, and strain of joints and ligaments of shoulder girdle"
"S44","Injury of nerves at shoulder and upper arm level"
"S45","Injury of blood vessels at shoulder and upper arm level"
"S46","Injury of muscle and tendon at shoulder and upper arm level"
"S47","Crushing injury of shoulder and upper arm"
"S48","Traumatic amputation of shoulder and upper arm"
"S49","Other and unspecified injuries of shoulder and upper arm"
"S50","Superficial injury of forearm"
"S51","Open wound of elbow and forearm"
"S52","Fracture of forearm"
"S53","Dislocation, sprain, and strain of joints and ligaments of elbow"
"S54","Injury of nerves at forearm level"
"S55","Injury of blood vessels at forearm level"
"S56","Injury of muscle and tendon at forearm level"
"S57","Crushing injury of forearm"
"S58","Traumatic amputation of forearm"
"S59","Other and unspecified injuries of forearm"
"S60","Superficial injury of wrist and hand"
"S61","Open wound of wrist and hand"
"S62","Fracture at wrist and hand level"
"S63","Dislocation, sprain, and strain of joints and ligaments at wrist and hand level"
"S64","Injury of nerves at wrist and hand level"
"S65","Injury of blood vessels at wrist and hand level"
"S66","Injury of muscle and tendon at wrist and hand level"
"S67","Crushing injury of wrist and hand"
"S68","Traumatic amputation of wrist and hand"
"S69","Other and unspecified injuries of wrist and hand"
"S70","Superficial injury of hip and thigh"
"S71","Open wound of hip and thigh"
"S72","Fracture of femur"
"S73","Dislocation, sprain, and strain of joint and ligaments of hip"
"S74","Injury of nerves at hip and thigh level"
"S75","Injury of blood vessels at hip and thigh level"
"S76","Injury of muscle and tendon at hip and thigh level"
"S77","Crushing injury of hip and thigh"
"S78","Traumatic amputation of hip and thigh"
"S79","Other and unspecified injuries of hip and thigh"
"S80","Superficial injury of lower leg"
"S81","Open wound of lower leg"
"S82","Fracture of lower leg, including ankle"
"S83","Dislocation, sprain, and strain of joints and ligaments of knee"
"S84","Injury of nerves at lower leg level"
"S85","Injury of blood vessels at lower leg level"
"S86","Injury of muscle and tendon at lower leg level"
"S87","Crushing injury of lower leg"
"S88","Traumatic amputation of lower leg"
"S89","Other and unspecified injuries of lower leg"
"S90","Superficial injury of ankle and foot"
"S91","Open wound of ankle and foot"
"S92","Fracture of foot except ankle"
"S93","Dislocation, sprain, and strain of joints and ligaments at ankle and foot level"
"S94","Injury of nerves at ankle and foot level"
"S95","Injury of blood vessels at ankle and foot level"
"S96","Injury of muscle and tendon at ankle and foot level"
"S97","Crushing injury of ankle and foot"
"S98","Traumatic amputation of ankle and foot"
"S99","Other and unspecified injuries of ankle and foot"
"T00","Superficial injuries involving multiple body regions"
"T01","Open wounds involving multiple body regions"
"T02","Fractures involving multiple body regions"
"T03","Dislocations, sprains, and strains involving multiple body regions"
"T04","Crushing injuries involving multiple body regions"
"T05","Traumatic amputations involving multiple body regions"
"T06","Other injuries involving multiple body regions, not elsewhere classified"
"T07","Unspecified multiple injuries"
"T08","Fracture of spine, level unspecified"
"T09","Other injuries of spine and trunk, level unspecified"
"T10","Fracture of upper limb, level unspecified"
"T11","Other injuries of upper limb, level unspecified"
"T12","Fracture of lower limb, level unspecified"
"T13","Other injuries of lower limb, level unspecified"
"T14","Injury of unspecified body region"
"T15","Foreign body on external eye"
"T16","Foreign body in ear"
"T17","Foreign body in respiratory tract"
"T18","Foreign body in alimentary tract"
"T19","Foreign body in genitourinary tract"
"T20","Burn and corrosion of head and neck"
